Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
1.000000	0	class1	------	3.000000	0.554500	0.520154	0.960396	0.020200	0.001493	0.204301	28.001670	1.000000	0.041729	0.040309	0.019400	0.998507	0.041801	0.010025	0.520154	
1.000000	1	class2	------	11.000000	0.465300	0.501076	0.833333	0.001800	0.000646	0.052889	4.330099	1.000000	0.002797	0.002153	0.001500	0.999354	0.002799	0.000535	0.501076	
------	------	------	2.000000	7.000000	0.509900	0.510615	0.896865	0.011000	0.001070	0.128595	16.165884	1.000000	0.022263	0.021231	0.010450	0.998930	0.022300	0.005280	0.510615	
2.000000	0	class1	------	4.000000	0.550800	0.510725	0.971154	0.010400	0.000555	0.148298	39.681191	1.000000	0.021990	0.021450	0.010100	0.999445	0.022004	0.005326	0.510725	
2.000000	1	class2	------	4.000000	0.459900	0.500650	0.645161	0.003100	0.002397	0.060729	1.542598	1.000000	0.003689	0.001300	0.002000	0.997603	0.003697	0.000323	0.500650	
------	------	------	2.000000	4.000000	0.505350	0.505688	0.808158	0.006750	0.001476	0.104513	20.611894	1.000000	0.012840	0.011375	0.006050	0.998524	0.012851	0.002825	0.505688	
3.000000	0	class1	------	4.000000	0.556800	0.509773	0.978261	0.009200	0.000365	0.141082	54.557522	1.000000	0.019903	0.019547	0.009000	0.999635	0.019912	0.004842	0.509773	
3.000000	1	class2	------	4.000000	0.453600	0.500568	0.574074	0.010800	0.010177	0.105824	1.111711	1.000000	0.011220	0.001137	0.006200	0.989823	0.011314	0.000282	0.500568	
------	------	------	2.000000	4.000000	0.505200	0.505171	0.776167	0.010000	0.005271	0.123453	27.834616	1.000000	0.015561	0.010342	0.007600	0.994729	0.015613	0.002562	0.505171	
4.000000	0	class1	------	3.000000	0.542800	0.507512	0.813084	0.010700	0.003731	0.136690	5.027021	1.000000	0.018674	0.015023	0.008700	0.996269	0.018754	0.003736	0.507512	
4.000000	1	class1	------	12.000000	0.535800	0.499720	0.000000	0.000300	0.000560	0.000000	0.000000	0.000000	0.000000	-0.000560	0.000000	0.999440	0.000000	-0.000139	0.499720	
4.000000	2	class2	------	11.000000	0.467500	0.503270	0.875000	0.004800	0.001293	0.088455	6.057265	1.000000	0.007826	0.006541	0.004200	0.998707	0.007834	0.001627	0.503270	
------	------	------	3.000000	8.666667	0.515367	0.503501	0.562695	0.005267	0.001861	0.075048	3.694762	0.666667	0.008833	0.007002	0.004300	0.998139	0.008863	0.001741	0.503501	
5.000000	0	class1	------	3.000000	0.539800	0.501456	0.687500	0.003200	0.001857	0.068987	2.568097	1.000000	0.004758	0.002911	0.002200	0.998143	0.004768	0.000724	0.501456	
5.000000	1	class2	------	3.000000	0.463100	0.501423	0.729730	0.003700	0.002167	0.070726	2.312997	1.000000	0.005004	0.002846	0.002700	0.997833	0.005013	0.000707	0.501423	
------	------	------	2.000000	3.000000	0.501450	0.501439	0.708615	0.003450	0.002012	0.069857	2.440547	1.000000	0.004881	0.002879	0.002450	0.997988	0.004891	0.000715	0.501439	
6.000000	0	class1	------	3.000000	0.598300	0.565120	0.682044	0.140900	0.081901	0.441324	2.590207	1.000000	0.193049	0.130240	0.096100	0.918099	0.212141	0.032272	0.565120	
6.000000	1	class1	------	3.000000	0.522900	0.523246	0.475972	0.501500	0.480439	0.523233	1.096772	1.000000	0.333473	0.046493	0.238700	0.519561	0.526932	0.011520	0.523246	
6.000000	2	class1	------	3.000000	0.563900	0.519052	0.900474	0.021100	0.003839	0.204405	10.925050	1.000000	0.041749	0.038103	0.019000	0.996161	0.041943	0.009442	0.519052	
6.000000	3	class2	------	12.000000	0.454600	0.501254	0.710526	0.003800	0.002428	0.070171	2.032741	1.000000	0.004926	0.002508	0.002700	0.997572	0.004936	0.000621	0.501254	
6.000000	4	class2	------	11.000000	0.457600	0.503617	0.712963	0.010800	0.006843	0.118239	2.057027	1.000000	0.013997	0.007234	0.007700	0.993157	0.014077	0.001792	0.503617	
6.000000	5	class2	------	12.000000	0.456200	0.502659	0.766667	0.006000	0.003091	0.091562	2.721076	1.000000	0.008388	0.005319	0.004600	0.996909	0.008410	0.001318	0.502659	
------	------	------	6.000000	7.333333	0.508917	0.519158	0.708108	0.114017	0.096424	0.241489	3.570479	1.000000	0.099264	0.038316	0.061467	0.903576	0.134740	0.009494	0.519158	
7.000000	0	class1	------	2.000000	0.555200	0.519452	0.904110	0.021900	0.003907	0.206503	10.957529	1.000000	0.042617	0.038904	0.019800	0.996093	0.042811	0.009671	0.519452	
7.000000	1	class2	------	3.000000	0.465700	0.502373	0.642857	0.011200	0.008649	0.115237	1.548837	1.000000	0.013296	0.004747	0.007200	0.991351	0.013395	0.001180	0.502373	
7.000000	2	class2	------	2.000000	0.466200	0.502265	0.595855	0.019300	0.016865	0.145033	1.268634	1.000000	0.021089	0.004530	0.011500	0.983135	0.021395	0.001126	0.502265	
