Timestamp	Rule	Class	ID	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
1.000000	0	class1	-1157900651	------	5.000000	0.575467	0.580199	0.536753	0.564133	0.489388	0.576010	1.327750	1.000000	0.416315	0.160397	0.302800	0.510612	0.649785	0.039914	0.580199	
1.000000	1	class2	-1116274794	------	3.000000	0.575467	0.580217	0.625650	0.435600	0.349928	0.575996	1.458475	1.000000	0.390972	0.160434	0.272533	0.650072	0.510362	0.039923	0.580217	
------	------	------	------	2.000000	4.000000	0.575467	0.580208	0.581201	0.499867	0.419658	0.576003	1.393113	1.000000	0.403643	0.160415	0.287667	0.580342	0.580074	0.039918	0.580208	
2.000000	0	class1	-1340848613	------	4.000000	0.578400	0.582955	0.542115	0.569867	0.491956	0.578121	1.337244	1.000000	0.422887	0.165909	0.308933	0.508044	0.657865	0.041324	0.582955	
2.000000	1	class2	-1898870234	------	4.000000	0.600533	0.596887	0.615693	0.565867	0.463089	0.593866	1.418437	1.000000	0.465858	0.193774	0.348400	0.536911	0.656863	0.048264	0.596887	
------	------	------	------	2.000000	4.000000	0.589467	0.589921	0.578904	0.567867	0.477522	0.585994	1.377840	1.000000	0.444373	0.179841	0.328667	0.522478	0.657364	0.044794	0.589921	
3.000000	0	class1	818434087	------	6.000000	0.564800	0.571742	0.515080	0.565867	0.500974	0.567099	1.286410	1.000000	0.401101	0.143484	0.291467	0.499026	0.644458	0.035544	0.571742	
3.000000	1	class2	-1898870234	------	4.000000	0.600933	0.594655	0.629320	0.574800	0.471108	0.591007	1.401840	1.000000	0.475464	0.189310	0.361733	0.528892	0.660419	0.046896	0.594655	
------	------	------	------	2.000000	5.000000	0.582867	0.583199	0.572200	0.570333	0.486041	0.579053	1.344125	1.000000	0.438283	0.166397	0.326600	0.513959	0.652438	0.041220	0.583199	
4.000000	0	class1	2119205921	------	5.000000	0.591467	0.584844	0.549451	0.424667	0.348216	0.581001	1.487307	1.000000	0.363523	0.169688	0.233333	0.651784	0.517905	0.042007	0.584844	
4.000000	1	class2	947326654	------	5.000000	0.591733	0.585193	0.622882	0.574533	0.480912	0.581448	1.354300	1.000000	0.467108	0.170387	0.357867	0.519088	0.651298	0.042180	0.585193	
------	------	------	------	2.000000	5.000000	0.591600	0.585019	0.586166	0.499600	0.414564	0.581224	1.420803	1.000000	0.415315	0.170037	0.295600	0.585436	0.584601	0.042093	0.585019	
5.000000	0	class1	-1040634475	------	6.000000	0.580533	0.575620	0.543259	0.436133	0.366986	0.572752	1.412116	1.000000	0.360959	0.151241	0.236933	0.633014	0.518227	0.037533	0.575620	
5.000000	1	class2	-254681788	------	6.000000	0.580400	0.575613	0.609531	0.562400	0.480315	0.572889	1.314846	1.000000	0.449633	0.151225	0.342800	0.519685	0.631540	0.037529	0.575613	
------	------	------	------	2.000000	6.000000	0.580467	0.575617	0.576395	0.499267	0.423650	0.572821	1.363481	1.000000	0.405296	0.151233	0.289867	0.576350	0.574884	0.037531	0.575617	
6.000000	0	class1	40134095	------	6.000000	0.593200	0.581654	0.596040	0.316533	0.240170	0.553692	1.679969	1.000000	0.316838	0.163308	0.188667	0.759830	0.403479	0.040656	0.581654	
6.000000	1	class2	-1906752566	------	4.000000	0.591733	0.587496	0.608686	0.571067	0.477901	0.583844	1.366166	1.000000	0.459869	0.174991	0.347600	0.522099	0.652893	0.043564	0.587496	
