Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
1.000000	0	class1	------	3.000000	0.534400	0.498994	0.285714	0.002800	0.003734	0.041427	0.461326	0.000000	0.001715	-0.002011	0.000800	0.996266	0.001723	-0.000500	0.498994	
1.000000	1	class2	------	9.000000	0.464400	0.499714	0.500000	0.004000	0.004307	0.060976	0.867065	0.000000	0.003720	-0.000573	0.002000	0.995693	0.003734	-0.000142	0.499714	
------	------	------	2.000000	6.000000	0.499400	0.499354	0.392857	0.003400	0.004020	0.051202	0.664196	0.000000	0.002718	-0.001292	0.001400	0.995980	0.002728	-0.000321	0.499354	
2.000000	0	class1	------	11.000000	0.540400	0.500499	0.666667	0.001200	0.000741	0.041687	2.347826	1.000000	0.001738	0.000998	0.000800	0.999259	0.001739	0.000248	0.500499	
2.000000	1	class1	------	3.000000	0.540400	0.500692	0.555556	0.003600	0.002963	0.065840	1.467391	1.000000	0.004333	0.001385	0.002000	0.997037	0.004348	0.000344	0.500692	
2.000000	2	class2	------	3.000000	0.460800	0.500032	0.541667	0.009600	0.009565	0.097660	1.006734	1.000000	0.009552	0.000064	0.005200	0.990435	0.009630	0.000016	0.500032	
2.000000	3	class2	------	3.000000	0.462000	0.501079	0.586207	0.011600	0.010435	0.111630	1.206790	1.000000	0.012482	0.002158	0.006800	0.989565	0.012593	0.000536	0.501079	
------	------	------	4.000000	5.000000	0.500900	0.500576	0.587524	0.006500	0.005926	0.079204	1.507185	1.000000	0.007026	0.001151	0.003700	0.994074	0.007077	0.000286	0.500576	
3.000000	0	class1	------	4.000000	0.530800	0.502909	0.636364	0.008800	0.006056	0.108640	1.960772	1.000000	0.011794	0.005818	0.005600	0.993944	0.011874	0.001450	0.502909	
3.000000	1	class2	------	2.000000	0.494400	0.521575	1.000000	0.022800	0.000000	0.207724	INFINITY	1.000000	0.043149	0.043149	0.022800	1.000000	0.043149	0.010752	0.521575	
------	------	------	2.000000	3.000000	0.512600	0.512242	0.818182	0.015800	0.003028	0.158182	INFINITY	1.000000	0.027472	0.024484	0.014200	0.996972	0.027512	0.006101	0.512242	
4.000000	0	class1	------	3.000000	0.546800	0.503709	0.640000	0.010000	0.006618	0.118077	2.120858	1.000000	0.013925	0.007417	0.006400	0.993382	0.014035	0.001840	0.503709	
4.000000	1	class2	------	4.000000	0.458000	0.501838	1.000000	0.002000	0.000000	0.060634	INFINITY	1.000000	0.003676	0.003676	0.002000	1.000000	0.003676	0.000912	0.501838	
------	------	------	2.000000	3.500000	0.502400	0.502773	0.820000	0.006000	0.003309	0.089356	INFINITY	1.000000	0.008801	0.005547	0.004200	0.996691	0.008856	0.001376	0.502773	
5.000000	0	class1	------	13.000000	0.529200	0.500003	0.470588	0.006800	0.006798	0.082198	1.000756	1.000000	0.006751	0.000005	0.003200	0.993202	0.006803	0.000001	0.500003	
5.000000	1	class1	------	13.000000	0.531200	0.502081	0.600000	0.008000	0.006042	0.100710	1.688776	1.000000	0.010135	0.004162	0.004800	0.993958	0.010204	0.001037	0.502081	
5.000000	2	class2	------	3.000000	0.472400	0.501603	0.647059	0.006800	0.005102	0.090916	1.628399	1.000000	0.008271	0.003206	0.004400	0.994898	0.008308	0.000799	0.501603	
------	------	------	3.000000	9.666667	0.510933	0.501229	0.572549	0.007200	0.005981	0.091275	1.439310	1.000000	0.008386	0.002458	0.004133	0.994019	0.008438	0.000612	0.501229	
