Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm	ExecTime_ms
1.000000	------	------	2.000000	7.000000	0.509900	0.510615	0.896865	0.011000	0.001070	0.128595	16.165884	1.000000	0.022263	0.021231	0.010450	0.998930	0.022300	0.005280	0.510615	695.000000
2.000000	------	------	2.000000	4.000000	0.505350	0.505688	0.808158	0.006750	0.001476	0.104513	20.611894	1.000000	0.012840	0.011375	0.006050	0.998524	0.012851	0.002825	0.505688	423.000000
3.000000	------	------	2.000000	4.000000	0.505200	0.505171	0.776167	0.010000	0.005271	0.123453	27.834616	1.000000	0.015561	0.010342	0.007600	0.994729	0.015613	0.002562	0.505171	476.000000
4.000000	------	------	3.000000	8.666667	0.515367	0.503501	0.562695	0.005267	0.001861	0.075048	3.694762	0.666667	0.008833	0.007002	0.004300	0.998139	0.008863	0.001741	0.503501	378.000000
5.000000	------	------	2.000000	3.000000	0.501450	0.501439	0.708615	0.003450	0.002012	0.069857	2.440547	1.000000	0.004881	0.002879	0.002450	0.997988	0.004891	0.000715	0.501439	296.000000
6.000000	------	------	6.000000	7.333333	0.508917	0.519158	0.708108	0.114017	0.096424	0.241489	3.570479	1.000000	0.099264	0.038316	0.061467	0.903576	0.134740	0.009494	0.519158	340.000000
7.000000	------	------	3.000000	2.333333	0.495700	0.508030	0.714274	0.017467	0.009807	0.155591	4.591667	1.000000	0.025668	0.016060	0.012833	0.990193	0.025867	0.003992	0.508030	287.000000
8.000000	------	------	2.000000	2.500000	0.508050	0.507405	0.682842	0.012650	0.004677	0.125130	3.642465	1.000000	0.019394	0.014810	0.010350	0.995323	0.019487	0.003679	0.507405	335.000000
9.000000	------	------	2.000000	8.000000	0.504150	0.503829	0.672227	0.006550	0.002415	0.090223	3.935602	0.500000	0.010050	0.007657	0.005350	0.997585	0.010073	0.001902	0.503829	354.000000
10.000000	------	------	8.000000	2.375000	0.491450	0.508376	0.591223	0.154800	0.145800	0.291882	1.997261	0.750000	0.130486	0.016751	0.087450	0.854200	0.162551	0.004163	0.508376	313.000000
11.000000	------	------	5.000000	2.600000	0.511800	0.506211	0.650098	0.031320	0.025263	0.181587	2.326409	1.000000	0.036067	0.012421	0.018100	0.974737	0.037684	0.003090	0.506211	313.000000
12.000000	------	------	3.000000	3.000000	0.491867	0.506770	0.744391	0.011900	0.004522	0.124218	3.609088	1.000000	0.017972	0.013540	0.009767	0.995478	0.018062	0.003355	0.506770	310.000000
13.000000	------	------	9.000000	4.666667	0.484444	0.503782	0.522656	0.163378	0.159275	0.259698	1.197925	0.555556	0.127452	0.007563	0.090556	0.840725	0.166838	0.001877	0.503782	335.000000
14.000000	------	------	5.000000	4.200000	0.490560	0.504522	0.654444	0.090920	0.086178	0.257915	3.099750	0.800000	0.083708	0.009043	0.050640	0.913822	0.095222	0.002251	0.504522	285.000000
15.000000	------	------	9.000000	2.666667	0.526511	0.519620	0.568370	0.147478	0.128342	0.322958	1.578431	0.777778	0.134259	0.039240	0.080911	0.871658	0.167582	0.009758	0.519620	325.000000
16.000000	------	------	2.000000	2.500000	0.509600	0.509105	0.736111	0.011500	0.001779	0.125447	INFINITY	1.000000	0.019981	0.018210	0.010550	0.998221	0.019989	0.004531	0.509105	293.000000
17.000000	------	------	6.000000	4.166667	0.534400	0.516667	0.613042	0.115967	0.100130	0.242301	INFINITY	0.833333	0.099128	0.033334	0.061917	0.899870	0.133464	0.008281	0.516667	304.000000
18.000000	------	------	3.000000	5.666667	0.515900	0.502389	0.681666	0.006533	0.004063	0.088391	2.491917	1.000000	0.008795	0.004777	0.004467	0.995937	0.008840	0.001187	0.502389	277.000000
19.000000	------	------	3.000000	3.000000	0.525133	0.514357	0.707136	0.033900	0.020676	0.200916	12.341084	0.666667	0.047489	0.028714	0.023033	0.979324	0.049389	0.007135	0.514357	318.000000
